20180121|5462691|1542427200|1545019200
20187667|5543567|1542427250|1545019250
20187667|5429946|1542427260|1545019260
20187667|5316237|1542427200|1545019200
20187818|5511283|1542513620|1545192020
20187818|5683326|1542513640|1545192040
20187818|5504363|1542513660|1545192060
20187818|5489330|1542513680|1545192080
20181869|5454806|1542600010|1545192010
20181869|5753349|1542600023|1545192023
20189462|5410780|1542600185|1545192185
20189462|5726370|1542600243|1545192243
20182792|5647746|1542686382|1545278382
20182792|5280076|1542686785|1545278785
20182792|5716023|1542686999|1545278999
20183721|5504458|1542686452|1545278452
20183903|5504568|1542772800|1545364800
20183903|5418951|1542772832|1545364832
20183903|5720261|1542772888|1545364888
20183903|5656827|1542772982|1545364982
